repo,path,kind,format,files,bytes,tracked,layer,last_commit,last_commit_subject,rows,cols,first,last,key_guess,read_error,producers,n_producers,consumers,n_consumers,workflows,n_workflows,mention_only,orphan_written_never_read,dead_no_code_touches_it
v9,output/backtest_checkpoint_over15.csv,file,csv,1,3250268,False,DERIVED,,,6000.0,107.0,2023-09-16 00:00:00,2025-10-25 00:00:00,date+home_team+away_team,,,0,,0,,0,0,False,True
v9,output/backtest_metrics_history.json,file,json,1,1803,True,CANONICAL,,,4.0,11.0,,,json object,,pro:retrain.py; v9:.github/workflows/retrain.yml; v9:retrain.py,3,,0,v9:.github/workflows/retrain.yml,1,0,True,False
v9,output/backtest_results.csv,file,csv,1,23037860,True,DERIVED,,,23421.0,121.0,2020-09-27 00:00:00,2026-05-18 00:00:00,date+home_team+away_team,,pro:pipeline.py; v9:.github/workflows/backtest.yml; v9:pipeline.py,3,,0,v9:.github/workflows/backtest.yml,1,0,True,False
v9,output/backtest_results_btts.csv,file,csv,1,9771208,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,12187.0,108.0,2022-09-02 00:00:00,2026-05-31 00:00:00,date+home_team+away_team,,v9:.github/workflows/backtest.yml,1,,0,v9:.github/workflows/backtest.yml,1,0,True,False
v9,output/backtest_results_newformat.csv,file,csv,1,2112045,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,2414.0,123.0,2025-08-09 00:00:00,2026-08-24 00:00:00,date+home_team+away_team,,pro:retrain.py; v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml; v9:retrain.py,4,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,output/backtest_results_over15.csv,file,csv,1,9850413,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,12187.0,108.0,2022-09-02 00:00:00,2026-05-31 00:00:00,date+home_team+away_team,,v9:.github/workflows/backtest.yml,1,,0,v9:.github/workflows/backtest.yml,1,0,True,False
v9,output/backtest_results_over35.csv,file,csv,1,9401285,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,12187.0,108.0,2022-09-02 00:00:00,2026-05-31 00:00:00,date+home_team+away_team,,v9:.github/workflows/backtest.yml,1,,0,v9:.github/workflows/backtest.yml,1,0,True,False
v9,output/backtest_results_standard.csv,file,csv,1,11727095,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,12187.0,123.0,2022-09-02 00:00:00,2026-05-31 00:00:00,date+home_team+away_team,,pro:retrain.py; v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml; v9:retrain.py,4,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml,2,4,True,False
v9,output/backtest_season_breakdown.csv,file,csv,1,5357,True,DERIVED,,,105.0,7.0,,,,,,0,,0,,0,0,False,True
v9,output/bets.csv,file,csv,1,3536,True,DERIVED,2026-09-23T04:40:34,auto: predict 2026-09-23 04:40 UTC,16.0,21.0,2026-09-24 00:00:00,2026-09-28 00:00:00,date+home_team+away_team,,pro:pipeline.py; pro:research/oracle_backtest.py; v9:.github/workflows/predict.yml; v9:pipeline.py,4,pro:app.py; pro:pages/10_🤖_Agent_Analysis.py; pro:pages/1_📊_Dashboard.py; pro:player_model/pipeline.py; pro:player_model/predict.py; pro:research/oracle_backtest.py; pro:telegram_bot/notifier.py; v9:app.py,13,v9:.github/workflows/predict.yml,1,8,False,False
v9,output/bets_ledger.csv,file,csv,1,664449,True,DERIVED,2026-09-22T13:24:44,auto: predict 2026-09-22 13:24 UTC,5324.0,21.0,2020-09-19 00:00:00,2026-09-28 00:00:00,,,pro:pipeline.py; pro:scripts/fix_ledger_tiers.py; pro:update_results.py; v9:.github/workflows/daily_summary.yml; v9:.github/workflows/predict.yml; v9:.github/workflows/update_results.yml,11,pro:app.py; pro:pages/12_💼_Portfolio.py; pro:scripts/fix_ledger_tiers.py; pro:scripts/v11_shadow.py; pro:telegram_bot/notifier.py; pro:update_results.py; v9:app.py; v9:pages/12_💼_Portfolio.py,14,v9:.github/workflows/daily_summary.yml; v9:.github/workflows/predict.yml; v9:.github/workflows/update_results.yml,3,20,False,False
v9,output/book_odds_snapshots.csv,file,csv,1,25534849,True,RAW,2026-09-23T04:40:34,auto: predict 2026-09-23 04:40 UTC,200000.0,9.0,2026-08-19 00:00:00,2026-09-26 00:00:00,,,v9:.github/workflows/predict.yml; v9:src/btts_odds.py; v9:src/predict.py,3,v9:src/btts_odds.py; v9:src/predict.py,2,v9:.github/workflows/predict.yml,1,10,False,False
v9,output/clv_records.csv,file,csv,1,411926,True,UNKNOWN,2026-09-22T13:29:11,auto: prop odds snapshot 2026-09-22 13:29 UTC,2654.0,17.0,,,,,v9:.github/workflows/player_props.yml; v9:.github/workflows/prop_odds_snapshot.yml; v9:player_model/clv_tracker.py,3,v9:player_model/clv_tracker.py; v9:src/clv_capture.py,2,v9:.github/workflows/player_props.yml; v9:.github/workflows/prop_odds_snapshot.yml,2,10,False,False
v9,output/fantasy_projection_log.csv,file,csv,1,1043998,True,REPORT,2026-09-22T12:04:32,auto: fantasy refresh 2026-09-22 12:04 UTC,7677.0,21.0,2026-08-27 00:00:00,2026-09-22 00:00:00,,,v9:.github/workflows/fantasy_refresh.yml; v9:player_model/fantasy_log.py,2,v9:player_model/fantasy_log.py,1,v9:.github/workflows/fantasy_refresh.yml,1,1,False,False
v9,output/fantasy_tips.csv,file,csv,1,74504,True,DERIVED,2026-09-22T12:04:32,auto: fantasy refresh 2026-09-22 12:04 UTC,289.0,38.0,,,,,pro:player_model/fantasy.py; pro:telegram_bot/notifier.py; v9:.github/workflows/fantasy_refresh.yml; v9:player_model/fantasy.py; v9:telegram_bot/notifier.py,5,pro:pages/13_⚽_Fantasy.py; pro:telegram_bot/notifier.py; v9:pages/13_⚽_Fantasy.py; v9:telegram_bot/notifier.py,4,v9:.github/workflows/fantasy_refresh.yml,1,1,False,False
v9,output/fd_history.parquet,file,parquet,1,560843,True,CANONICAL,2026-09-22T13:24:44,auto: predict 2026-09-22 13:24 UTC,58156.0,23.0,2019-02-15 00:00:00,2026-09-22 00:00:00,date+home_team+away_team,,v9:.github/workflows/predict.yml; v9:.github/workflows/retrain.yml; v9:src/data_loader.py,3,pro:src/architecture/gap.py; v9:src/data_loader.py,2,v9:.github/workflows/predict.yml; v9:.github/workflows/retrain.yml,2,5,False,False
v9,output/feature_health.json,file,json,1,606,True,REPORT,2026-09-23T04:40:34,auto: predict 2026-09-23 04:40 UTC,2.0,0.0,,,json object,,v9:.github/workflows/predict.yml; v9:src/health_check.py,2,,0,v9:.github/workflows/predict.yml,1,2,True,False
v9,output/fpl_bootstrap.json,file,json,1,1940756,True,UNKNOWN,2026-09-22T12:04:32,auto: fantasy refresh 2026-09-22 12:04 UTC,10.0,0.0,,,json object,,v9:.github/workflows/fantasy_refresh.yml,1,,0,v9:.github/workflows/fantasy_refresh.yml,1,1,True,False
v9,output/fpl_cache_meta.json,file,json,1,92,True,CACHE,2026-09-22T12:04:32,auto: fantasy refresh 2026-09-22 12:04 UTC,2.0,0.0,,,json object,,v9:.github/workflows/fantasy_refresh.yml; v9:player_model/fpl_api.py,2,,0,v9:.github/workflows/fantasy_refresh.yml,1,0,True,False
v9,output/fpl_fixtures.json,file,json,1,261332,True,UNKNOWN,2026-09-22T12:04:32,auto: fantasy refresh 2026-09-22 12:04 UTC,380.0,17.0,,,,,v9:.github/workflows/fantasy_refresh.yml,1,,0,v9:.github/workflows/fantasy_refresh.yml,1,1,True,False
v9,output/history_extend_health.json,file,json,1,2357,True,CANONICAL,2026-09-22T13:00:26,auto: player history extend 2026-09-22 13:00 UTC,7.0,0.0,,,json object,,v9:.github/workflows/player_history_extend.yml,1,v9:.github/workflows/player_history_extend.yml,1,v9:.github/workflows/player_history_extend.yml,1,0,False,False
v9,output/ht_ledger.csv,file,csv,1,2576,True,DERIVED,2026-09-22T13:24:44,auto: predict 2026-09-22 13:24 UTC,23.0,16.0,2026-09-26 00:00:00,2026-09-28 00:00:00,,,v9:.github/workflows/daily_summary.yml; v9:.github/workflows/predict.yml; v9:.github/workflows/update_results.yml; v9:src/ledger.py; v9:update_results.py,5,v9:src/ledger.py; v9:update_results.py,2,v9:.github/workflows/daily_summary.yml; v9:.github/workflows/predict.yml; v9:.github/workflows/update_results.yml,3,4,False,False
v9,output/inplay_snapshots.csv,file,csv,1,121767,True,RAW,2026-09-22T01:25:31,auto: live 2026-09-22 01:25 UTC,1417.0,9.0,2026-08-07 11:08:06,2026-09-22 01:25:30,fixture_id,,v9:.github/workflows/live_scanner.yml; v9:src/live_scanner.py,2,v9:src/live_scanner.py,1,v9:.github/workflows/live_scanner.yml,1,4,False,False
v9,output/league_roi_config.json,file,json,1,921,True,UNKNOWN,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,2.0,7.0,,,json object,,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,3,True,False
v9,output/live_games.csv,file,csv,1,125,True,UNKNOWN,2026-09-22T13:04:28,auto: live 2026-09-22 13:04 UTC,0.0,11.0,,,,,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/predict.yml; v9:src/live_scanner.py,3,pro:pages/6_⚡_Live.py; v9:pages/6_⚡_Live.py,2,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/predict.yml,2,5,False,False
v9,output/live_signals_history.csv,file,csv,1,10654,True,CANONICAL,2026-09-23T01:42:30,auto: results 2026-09-23 01:42 UTC,77.0,16.0,2026-06-25 00:00:00,2026-09-22 00:00:00,,,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/update_results.yml; v9:src/live_scanner.py; v9:update_results.py,4,pro:pages/9_📜_Live_History.py; v9:pages/6_⚡_Live.py; v9:src/live_scanner.py; v9:update_results.py,4,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/update_results.yml,2,1,False,False
v9,output/live_tips.csv,file,csv,1,166,True,DERIVED,2026-09-22T13:04:28,auto: live 2026-09-22 13:04 UTC,0.0,16.0,,,,,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/predict.yml; v9:src/live_scanner.py,3,pro:pages/6_⚡_Live.py; pro:telegram_bot/notifier.py; v9:pages/6_⚡_Live.py; v9:telegram_bot/notifier.py,4,v9:.github/workflows/live_scanner.yml; v9:.github/workflows/predict.yml,2,3,False,False
v9,output/newformat_odds_dense.csv,file,csv,1,1057695,True,UNKNOWN,2026-09-22T23:47:43,auto: predict 2026-09-22 23:47 UTC,10387.0,7.0,2026-08-15 00:00:00,2026-09-28 00:00:00,,,v9:.github/workflows/nf_odds_capture.yml; v9:.github/workflows/predict.yml,2,,0,v9:.github/workflows/nf_odds_capture.yml; v9:.github/workflows/predict.yml,2,5,True,False
v9,output/newformat_odds_history.csv,file,csv,1,4957522,True,RAW,2026-09-23T06:37:41,auto: nf odds capture 2026-09-23 06:37 UTC,44582.0,8.0,2025-06-23 00:00:00,2026-10-12 00:00:00,,,pro:scripts/capture_nf_odds_forward.py; v9:.github/workflows/nf_odds_capture.yml; v9:scripts/capture_nf_odds_forward.py,3,pro:scripts/capture_nf_odds_forward.py; pro:x12_nf_backtest.py; v9:scripts/capture_nf_odds_forward.py; v9:src/data_loader.py,4,v9:.github/workflows/nf_odds_capture.yml,1,8,False,False
v9,output/player_ledger.csv,file,csv,1,1485028,True,DERIVED,2026-09-23T01:42:30,auto: results 2026-09-23 01:42 UTC,9601.0,22.0,2026-06-14 00:00:00,2026-09-28 00:00:00,fixture_id,,pro:update_results.py; v9:.github/workflows/daily_summary.yml; v9:.github/workflows/player_props.yml; v9:.github/workflows/update_results.yml; v9:update_results.py,5,pro:pages/11_👤_Player_Props.py; pro:pages/12_💼_Portfolio.py; pro:telegram_bot/notifier.py; pro:update_results.py; v9:.github/workflows/player_props.yml; v9:pages/11_👤_Player_Props.py; v9:pages/12_💼_Portfolio.py; v9:player_model/clv_tracker.py,10,v9:.github/workflows/daily_summary.yml; v9:.github/workflows/player_props.yml; v9:.github/workflows/update_results.yml,3,5,False,False
v9,output/player_props_calibration.json,file,json,1,1081,True,UNKNOWN,,,7.0,6.0,,,json object,,pro:player_model/predict.py; v9:player_model/predict.py,2,pro:player_model/predict.py; v9:player_model/predict.py,2,,0,0,False,False
v9,output/player_prop_odds_history.csv,file,csv,1,35823636,True,RAW,2026-09-23T04:52:42,auto: prop odds snapshot 2026-09-23 04:52 UTC,200000.0,10.0,2026-06-28 00:00:00,2026-09-19 00:00:00,,,pro:player_model/odds_fetcher.py; v9:.github/workflows/player_props.yml; v9:.github/workflows/prop_odds_snapshot.yml; v9:player_model/odds_fetcher.py,4,pro:player_model/clv_tracker.py; pro:player_model/odds_fetcher.py; pro:research/calibration_audit.py; pro:research/counterfactual_test.py; pro:research/distributional_test.py; pro:research/oracle_backtest.py; v9:player_model/clv_tracker.py; v9:player_model/odds_fetcher.py,8,v9:.github/workflows/player_props.yml; v9:.github/workflows/prop_odds_snapshot.yml,2,4,False,False
v9,output/player_tips.csv,file,csv,1,16427,True,DERIVED,2026-09-22T16:17:08,auto: player props 2026-09-22 16:17 UTC,90.0,25.0,2026-09-24 00:00:00,2026-09-28 00:00:00,fixture_id,,pro:player_model/pipeline.py; pro:player_model/predict.py; v9:.github/workflows/player_props.yml; v9:player_model/pipeline.py; v9:player_model/predict.py,5,pro:pages/11_👤_Player_Props.py; pro:pages/5_🌍_World_Cup.py; pro:telegram_bot/notifier.py; v9:.github/workflows/player_props.yml; v9:pages/11_👤_Player_Props.py; v9:telegram_bot/notifier.py,6,v9:.github/workflows/player_props.yml,1,8,False,False
